UML ID;Group Name;Parent Company;Mill Name;RSPO Status;RSPO Type;Date RSPO Certification Status;Latitude;Longitude;GPS coordinates;ISO;Country;Province;District;Confidence level;Alternative name
PO1000000017;AGROPALMA;AGROPALMA;CPA;RSPO Certified;RSPO Certified, IP;07/10/2024;-2,253539;-48,58567;-2.253539, -48.58567;BRA;Brazil;Pará;Acará;1-Fully Verified;
PO1000000019;KULIM (MALAYSIA) BERHAD;EPA MANAGEMENT SDN BHD;SEDENAK;RSPO Certified;RSPO Certified, MB;07/10/2024;1,730858;103,538323;1.730858, 103.538323;MYS;Malaysia;Johor;Kulaijaya;1-Fully Verified;
PO1000000020;NBPOL;NEW BRITAIN PALM OIL;MOSA;RSPO Certified;RSPO Certified, IP;07/10/2024;-5,6225;150,23735;-5.6225, 150.23735;PNG;Papua New Guinea;West New Britain;Talasea;1-Fully Verified;
PO1000000021;ROYAL GOLDEN EAGLE;INTI INDOSAWIT SUBUR;BUATAN I;RSPO Certified;RSPO Certified, MB;07/10/2024;0,434444;101,825;0.4344444, 101.825;IDN;Indonesia;Riau;Siak;2-High Confidence;
PO1000000052;IOI CORPORATION;PAMOL ESTATES (SABAH) SDN BHD;PAMOL SABAH;RSPO Certified;RSPO Certified, IP;07/10/2024;6,002431;117,398389;6.002431, 117.398389;MYS;Malaysia;Sabah;Beluran;1-Fully Verified;
PO1000000053;SIPEF;HARGY OIL PALM LTD;HARGY MILL;RSPO Certified;RSPO Certified, IP;07/10/2024;-5,311111;151,01097;-5.311111, 151.01097;PNG;Papua New Guinea;West New Britain;Talasea;1-Fully Verified;
PO1000000054;MUSIM MAS;MUSIM MAS HOLDINGS PTE LTD;BATANG KULIM;RSPO Certified;RSPO Certified, IP;07/10/2024;0,077043;102,030838;0.077043, 102.030838;IDN;Indonesia;Riau;Pelalawan;1-Fully Verified;
PO1000000058;CARGILL;HINDOLI;SUNGAI LILIN;RSPO Certified;RSPO Certified, IP;07/10/2024;-2,612778;104,128242;-2.612778, 104.128242;IDN;Indonesia;Sumatera Selatan;Musi Banyuasin;2-High Confidence;
PO1000000063;SIME DARBY;SIME DARBY PLANTATION BHD;BINUANG (SOU 28);RSPO Certified;RSPO Certified, IP, MB;07/10/2024;4,704457;118,060186;4.704457, 118.060186;MYS;Malaysia;Sabah;Kunak;1-Fully Verified;
PO1000000064;SIME DARBY;SIME DARBY PLANTATION BHD;MEROTAI (SOU 30);RSPO Certified;RSPO Certified, MB;07/10/2024;4,369347;117,832905;4.369347, 117.832905;MYS;Malaysia;Sabah;Tawau;1-Fully Verified;
PO1000000065;SIME DARBY;SIME DARBY PLANTATION BHD;SANDAKAN BAY (SOU 26);RSPO Certified;RSPO Certified, MB;07/10/2024;5,641362;118,166868;5.641362, 118.166868;MYS;Malaysia;Sabah;Sandakan;1-Fully Verified;
PO1000000066;WILMAR GROUP;SABAHMAS PLANTATION SDN BHD;SABAHMAS;RSPO Certified;RSPO Certified, MB;07/10/2024;5,179162;118,405246;5.179162, 118.405246;MYS;Malaysia;Sabah;Lahad Datu;1-Fully Verified;
PO1000000091;WILMAR GROUP;SAREMAS SDN BHD;SAREMAS 1;RSPO Certified;RSPO Certified, MB;07/10/2024;3,524921;113,744412;3.524921, 113.744412;MYS;Malaysia;Sarawak;Miri;1-Fully Verified;
PO1000000092;MUSIM MAS;AGRO WIRATAMA;AGROWIRATAMA;RSPO Certified;RSPO Certified, IP;07/10/2024;0,198958;99,626589;0.198958, 99.626589;IDN;Indonesia;Sumatera Barat;Pasaman Barat;1-Fully Verified;
PO1000000093;WILMAR GROUP;SAREMAS SDN BHD;SAREMAS 2;RSPO Certified;RSPO Certified, IP;07/10/2024;3,450453;113,765561;3.450453, 113.765561;MYS;Malaysia;Sarawak;Miri;1-Fully Verified;
PO1000000094;IOI CORPORATION;IOI CORPORATION BHD;GOMALI;RSPO Certified;RSPO Certified, IP;07/10/2024;2,611826;102,678656;2.611826, 102.678656;MYS;Malaysia;Johor;Segamat;1-Fully Verified;
PO1000000095;SIPEF;EASTERN SUMATERA INDONESIA;BUKIT MARADJA;RSPO Certified;RSPO Certified, IP;07/10/2024;3,012294;99,235572;3.012294, 99.235572;IDN;Indonesia;Sumatera Utara;Simalungun;1-Fully Verified;
PO1000000097;SIME DARBY;SIME DARBY PLANTATION BHD;EAST (SOU 8);RSPO Certified;RSPO Certified, IP, MB;07/10/2024;2,883333;101,436136;2.883333, 101.436136;MYS;Malaysia;Selangor;Kuala Langat;1-Fully Verified;
PO1000000098;SIME DARBY;SIME DARBY PLANTATION BHD;TANAH MERAH (SOU 14);RSPO Certified;RSPO Certified, IP, MB;07/10/2024;2,655278;101,792778;2.655278, 101.792778;MYS;Malaysia;Negeri Sembilan;Port Dickson;1-Fully Verified;
PO1000000099;SIPEF;TOLAN TIGA INDONESIA;PERLABIAN;RSPO Certified;RSPO Certified, IP;07/10/2024;2,061383;100,081222;2.061383, 100.081222;IDN;Indonesia;Sumatera Utara;Labuhanbatu Selatan;1-Fully Verified;
PO1000000101;SIME DARBY;SIME DARBY PLANTATION BHD;SEGALIUD (SOU 25);Not RSPO Certified;;07/10/2024;5,726001;117,754574;5.726001, 117.754574;MYS;Malaysia;Sabah;Sandakan;1-Fully Verified;
PO1000000102;NBPOL;RAMU AGRI INDUSTRIES;GUSAP;RSPO Certified;RSPO Certified, IP;07/10/2024;-6,073194;145,984583;-6.073194, 145.984583;PNG;Papua New Guinea;Morobe;Markham;1-Fully Verified;
PO1000000103;SIME DARBY;SIME DARBY PLANTATION BHD;WEST (SOU 9);RSPO Certified;RSPO Certified, IP, MB;07/10/2024;2,905;101,361306;2.905, 101.361306;MYS;Malaysia;Selangor;Kuala Langat;2-High Confidence;
PO1000000104;SIME DARBY;SIME DARBY PLANTATION BHD;SUNGAI DINGIN (SOU 1);RSPO Certified;RSPO Certified, MB;07/10/2024;5,39432;100,71117;5.39432, 100.71117;MYS;Malaysia;Kedah;Kulim;1-Fully Verified;
